『你们中间若有缺少智慧的，应当求那厚赐与众人、也不斥责人的神，主就必赐给他』	（雅1：5）
『忍受试探的人是有福的，因为他经过试验以后，必得生命的冠冕』	（雅1：12）
『他自己既然被试探而受苦，就能搭救被试探的人』	（来2：18）
『当时，耶稣被圣灵引到旷野，受魔鬼的试探。他禁食四十昼夜，后来就饿了』	（太1：1-2）
『你若是』	（太1：3，6）
『弟兄向你怀怨 』	（太5：23）
『你同告你的对头还在路上，就赶紧与他和息，恐怕他把你送给审判官，审判官交付衙役，你就下在监里了』	（太5：25）
『甚么誓都不可起』	（太5：34）
『主说：我凭著我的永生起誓』	（罗14：11）
『你们的话，是，就说是；不是，就说不是；若再多说，就是出于那恶者』	（太5：37）
『有人打你的右脸，连左脸也转过来由他打』	（太5：39）
『我若说的不是，你可以指证那不是；我若说的是，你为甚么打我呢？』	（约18：23）
『有求你的，就给他；有向你借贷的，不可推辞』	（太5：42）
『谁为生人作保，就拿谁的衣服；谁为外人作保，谁就要承当』	（箴20：16）
『照著你们的信给你们成全了吧』	（太9：29）
『我们若照他的旨意求甚么，他就听我们』	（约壹5：14）
『信而受洗，必然得救』	（可16：16）
『无法分辨左手右手』	（拿4：11）
『贱女人』a.他玛	（太1：3）
『只是没有和他同房，等他生了儿子』	（太1：25）
『信与不信不能同负一轭』	（林后6：14）
『不可与他们结亲。不可将你的女儿嫁他们的儿子，也不可叫你的儿子娶他们的女儿；因为他必使你儿子转离不跟从主，去事奉别神，以致耶和华的怒气向你们发作』	（申7：3-4）
『丈夫若死了，妻子就可以自由，随意再嫁，只是要嫁这在主里面的人』	（林前7：39）
『因为不信的丈夫、就因著妻子成了圣洁．并且不信的妻子、就因著丈夫成了圣洁	（丈夫或做弟兄）』	（林前7：14）
『人要离开父母，与妻子连合，二人成为一体。』	（创2：24）
『既然如此，夫妻不再是两个人，乃是一体的了。所以，神配合的，人不可分开。』	（太19：6）
『凡休妻的，若不是为淫乱的缘故、、、』	（太5：32）
『凡休妻另娶的，若不是为淫乱的缘故、、、』	（太19：9）
『倘若那不信的人要离去，就由他离去吧！无论是弟兄，是姐妹，遇著这样的事都不必拘束。』	（林前7：15）
『所以丈夫活著，她若归于别人，便叫淫妇；丈夫若死了，她就脱离了丈夫的律法，虽然归于别人，也不是淫妇。』	（罗7：3）
『丈夫活著的时候，妻子是被约束的；丈夫若死了，妻子就可以自由，随意再嫁，只是要嫁这在主里面的人。』	（林前7：39）
『门徒对耶稣说：人和妻子既是这样，倒不如不娶』	（太19：10）
『丈夫活著的时候，妻子是被约束的；丈夫若死了，妻子就可以自由，随意再嫁，只是要嫁这在主里面的人』	（林前7：39）
『我身子虽不在你们那里，心却在你们那里，好像我亲自与你们同在，已经判断了行这事的人』	（林前5：3）
『使你们能分别是非』	（腓1：10）
『喜爱管教的，就是喜爱知识；恨恶责备的，却是畜类』	（箴 12：1）
『用百般的忍耐，各样的教训，责备人、警戒人、劝勉人』	（提后4：2）
『凡我所疼爱的，我就责备管教他』	（启3：19）
『不要把圣物给狗』	（太7：6）
『你们祈求，就给你们』	（太7：7-8）
『好东西』这词汇	（太7：11）
『你们求也得不著，是因为你们妄求』	（雅4：3）
『你们愿意人怎样待你们，你们也要怎样待人』	（太7：12）
『凭果子可以认出来』	（太7：20）
『假基督、假先知将要起来，显大神迹、大奇事，倘若能行，连选民也就迷惑了』	（太24：24）
『从前在百姓中有假先知起来，将来在你们中间也必有假师傅，私自引进陷害人的异端，连买他们的主他们也不承认，自取速速的灭亡』	（彼后2：1）
『先知托耶和华的名说话，所说的若不成就，也无效验，这就是耶和华所未曾吩咐的，是那先知擅自说的，你不要怕他』	（申18：22）
『若有先知擅敢托我的名说我所未曾吩咐他说的话，或是奉别神的名说话，那先知就必治死』	（申18：20）
『不可妄称耶和华你神的名；因为妄称耶和华名的，耶和华必不以他为无罪』	（出20：7）
『亲爱的弟兄啊，一切的灵，你们不可都信，总要试验那些灵是出于神的不是，因为世上有许多假先知已经出来了』	（约壹4：1）
『从来不认识他们』	（太7：23）
『不要效法恶，只要效法善』	（约三1：11）
『出生在马槽』	（路2：7）
『客店里没有地方』	（路2：7）
『有先知记著，说：犹大地的伯利恒啊，你在犹大诸城中并不是最小的；因为将来有一位君王要从你那里出来，牧养我以色列民』	（太2：5-6）
『耶稣因为他们不信，就在那里不多行异能了』	（太12：58）
『当那些日子，凯撒亚古士督有旨意下来，叫天下人民	（all the world ）都报名上册』	（路2：1）
『哥拉汛哪，你有祸了！伯赛大啊，你有祸了！因为在你们中间所行的异能，若行在推罗、西顿，他们早已披麻蒙灰悔改了』	（太11：21）
『当把基督的道理丰丰富富的存在心里，以各样的智慧，用诗章、颂词、灵歌，彼此教导，互相劝戒，心被恩感，歌颂神』	（西3：16）
『快快的听，慢慢的说』	（雅1：19）
『犯罪的人，当在众人面前责备他，叫其余的人也可以惧怕』	（提前5：20）
『被建造在使徒和先知的根基上』	（弗2：20）
『我父啊，这杯若不能离开我，必要我喝，就愿你的旨意成全』	（太26：42）
『有人	（未信者）问你们	（基督徒）心中盼望的缘由，就要常作准备，以温柔、敬畏的心回答各人』	（彼前3：15）
『人当以训诲和法度为标准；他们所说的，若不与此相符，必不得见晨光』	（赛8：20）
『人若立志遵著他的旨意行，就必晓得这教训或是出于神，或是我凭著自己说的』	（约7：17）
『使你们无可指摘，诚实无伪，在这弯曲悖谬的世代作神无瑕疵的儿女。你们显在这世代中，好像明光照耀』	（腓2：15）
『那美好的仗我已经打过了，当跑的路我已经跑尽了，所信的道我已经守住了』	（提前4：7）
『倘若守望的人见刀剑临到，不吹角，以致民不受警戒，刀剑来杀了他们中间的一个人，他虽然死在罪孽之中，我却要向守望的人讨他丧命的罪』	（结33：6）
『亚基帕王啊，我故此没有违背那从天上来的异象』	（徒26：19）
『但智慧之子总以智慧为是！』	（太11：19）
『恨不得那搅乱你们的人把自己割绝了』	（加5：12）
『有一个利未人，生在塞浦路斯，名叫约瑟，使徒称他为巴拿巴	（巴拿巴翻出来就是劝慰子）』	（徒4：36）
『还有西庇太的儿子雅各和雅各的兄弟约翰，又给这两个人起名叫半尼其，就是雷子的意思』	（可3：17）
『我们若果颠狂，是为神』	（林后5：13）
『你们知道，自从我到亚西亚的日子以来，在你们中间始终为人如何』	（徒20：18）
『你们也知道，凡与你们有益的，我没有一样避讳不说的，或在众人面前，或在各人家里，我都教导你们』	（徒20：20）
『我未曾贪图一个人的金、银、衣服』	（徒20：33）
『大卫按神的旨意服事了他那一世的人，就睡了』	（徒13：36）
『我们晓得万事都互相效力，叫爱神的人得益处，就是按他旨意被召的人』	（罗8：28）
『所以我今日向你们证明，你们中间无论何人死亡，罪不在我身上』	（徒20：26）
『我的百姓啊，引导你的使你走错，并毁坏你所行的道路』	（赛3：12）
『圣灵与我们的心同证我们是神的儿女』	（罗8：16）
『要把这样的人交给撒但，败坏他的肉体，使他的灵魂在主耶稣的日子可以得救』	（林前5：5）
『铜匠亚力山大多多的害我；主必照他所行的报应他』	（提后4：14）
『你们若瞎了眼，就没有罪了；但如今你们说我们能看见，所以你们的罪还在』	（约9：41）
『我若没有来教训他们，他们就没有罪；但如今他们的罪无可推诿了』	（约15：22）
『求你拦阻仆人不犯任意妄为的罪，不容这罪辖制我，我便完全，免犯大罪』	（诗19：13）
『你竟任著你刚硬不悔改的心，为自己积蓄忿怒，以致神震怒，显他公义审判的日子来到』	（罗2：5）
『愿赐平安的神亲自使你们全然成圣！又愿你们的灵与魂与身子得蒙保守，在我主耶稣基督降临的时候完全无可指摘』	（帖前5：23）
『当存畏惧事奉耶和华，又当存战兢而快乐』	（诗2：11）
『不要自欺，神是轻慢不得的。人种的是甚么，收的也是甚么。顺著情欲撒种的，必从情欲收败坏；顺著圣灵撒种的，必从圣灵收永生』	（加6：7-8）
『人所做的事，连一切隐藏的事，无论是善是恶，神都必审问』	（传12：14）
『不要把圣物给狗，也不要把你们的珍珠丢在猪前，恐怕牠践踏了珍珠，转过来咬你们』	（太7：6）
『两样的法码为耶和华所憎恶』	（箴20：23）
『你在甚么事上论断人，就在甚么事上定自己的罪；因你这论断人的，自己所行却和别人一样』	（罗2：1）
『你论断行这样事的人，自己所行的却和别人一样，你以为能逃脱神的审判吗？』	（罗2：3）
『守日的人是为主守的；吃的人是为主吃的，因他感谢神；不吃的人是为主不吃的，也感谢神』	（罗14：6）
『也用不著谁见证人怎样，因他知道人心里所存的』	（约2：25）
『你们不可停止聚会、、、、倒要彼此劝勉』	（来10：25）
『以敬虔为得利的门路』	（提前6：5）
『羊不跟著生人；因为不认得他的声音。必要逃跑』	（约10：5）
『愿名为雅各神的高举你』	（诗20：1）
『圣灵立你们作全群的监督，你们就当为自己谨慎，也为全群谨慎，牧养神的教会，就是他用自己血所买来的』	（徒20：28）
『那真正拜父的，要用心灵和诚实拜他，因为父要这样的人拜他』	（约4：23）
『人若有愿做的心，必蒙悦纳』	（林后8：12）
『话合其时，何等美好』	（箴15：23）
『清晨起来，大声给朋友祝福的，就算是咒诅他』	（箴27：14）
『对伤心的人唱歌，就如冷天脱衣服，又如碱上倒醋』	（箴25：20）
『娼妓所得的钱，或娈童所得的价，你不可带入耶和华你神的殿还愿，因为这两样都是耶和华你神所憎恶的』	（申2：18）
『我为你的殿心里焦急，如同火烧』	（诗69：9）
『神就是爱』	（约一4：8）
『我就是、、、、真理』	（约14：6）
『与哀哭的人要同哭』	（罗12：15）
『那真正拜父的，要用心灵和诚实拜他』	（约4：23）
『我来了，是要叫羊得生命，并且得的更丰盛』	（约10：10）
『我告诉你们，神能从这些石头中给亚伯拉罕兴起子孙来』	（太3：9）
『他们轻轻忽忽地医治我百姓的损伤，说：平安了！平安了！其实没有平安』	（耶6：14）
『人要把你们赶出会堂，并且时候将到，凡杀你们的就以为是事奉神』	（约16：2）
『我可以证明他们向神有热心，但不是按著真知识』	（罗10：2）
『爱父母过于爱我的，不配作我的门徒；爱儿女过于爱我的，不配作我的门徒』	（太10：37）
『人被拉到死地，你要解救；人将被杀，你须拦阻』	（箴24：11）
『弟兄们，若有人偶然被过犯所胜，你们属灵的人就当用温柔的心把他挽回过来』	（加6：1）
『用温柔劝戒那抵挡的人』	（提后2：25）
『并用百般的忍耐、各样的教训责备人，警戒人，劝勉人』	（提后4：2）
『你要严严地责备他们，使他们在真道上纯全无疵』	（多1：13）
『蛇对女人说：神岂是真说不许你们吃园中所有树上的果子吗？女人对蛇说：园中树上的果子，我们可以吃，惟有园当中那棵树上的果子，神曾说：你们不可吃，也不可摸，免得你们死。蛇对女人说：你们不一定死；因为神知道，你们吃的日子眼睛就明亮了，你们便如神能知道善恶』	（创3：1-5）
『悦人眼目、可喜爱、好做食物』	（创3：6）
『耶和华你的神乃是烈火，是忌邪的神』	（申4：24）
『以色列家的人中，凡将他的假神接到心里，把陷于罪的绊脚石放在面前，又就了先知来的，我耶和华在他所求的事上，必按他众多的假神回答他』	（结14：4）
『现在你们因我讲给你们的道，已经干净了』	（约15：13）
『求你用真理使他们成圣；你的道就是真理』	（约17：17）
『我为他们的缘故，自己分别为圣，叫他们也因真理成圣』	（约17：19）
『他们轻轻忽忽地医治我百姓的损伤，说：平安了！平安了！其实没有平安。』	（耶6：14）
『利百加对以撒说：「我因这赫人的女子连性命都厌烦了；倘若雅各也娶赫人的女子为妻，像这些一样，我活著还有甚么益处呢？」』	（创27：46）
『至于我和我家，我们必定事奉耶和华』	（书24：15）
『耶和华说：「以扫不是雅各的哥哥吗？我却爱雅各，恶以扫」』	（玛1：2-3）
『这些事都是我们的鉴戒』	（林前10：6）
『我们在一切患难中，他就安慰我们，叫我们能用神所赐的安慰去安慰那遭各样患难的人』	（林后1：4）
『我们原是他的工作，在基督耶稣里造成的，为要叫我们行善，就是神所预备叫我们行的』	（弗2：10）
『大卫在世的时候遵行了神的旨意，就睡了』	（徒13：36）
『我们留心行光明的事，不但在主面前，就在人面前也是这样』	（林后8：21）
『你们作丈夫的，也要按情理和妻子同住；因她比你软弱，与你一同承受生命之恩的，所以要敬重她』	（彼前3：7）
『那两个天使晚上到了所多玛；罗得正坐在所多玛城门口』	（创19：1）
『罗得举目看见约旦河的全平原，直到琐珥，都是滋润的，那地在耶和华未灭所多玛、蛾摩拉以先如同耶和华的园子，也像埃及地。于是罗得选择约旦河的全平原，往东迁移』	（创13：10）
『所多玛城里各处的人，连老带少，都来围住那房子』	（创19L：4）
『因为你们出埃及的时候，他们没有拿食物和水在路上迎接你们，又因他们雇了米所波大米的毘夺人比珥的儿子巴兰来咒诅你们。』	（申23：4）
『骄傲』	（赛16：6）
『没有扶助困苦和穷乏人』	（结16：49）
『流你们血、害你们命的，无论是兽是人，我必讨他的罪，就是向各人的弟兄也是如此。凡流人血的，他的血也必被人所流，因为神造人是照自己的形像造的』	（创9：5-6）
『耶稣说、、、若不藉著我，没有人能到父那里去』	（约14：6）
『凡在人面前不认我的，我在我天上的父面前也必不认他』	（太10：33）
『他既然爱世间属自己的人，就爱他们到底』	（约13：1）
『这些事你们既做在我这弟兄中一个最小的身上，就是做在我身上了』	（太25：40）
『祂既然爱世间属自己的人，就爱他们到底』	（约13：1）
『除了我以外，你不可有别的神』	（出20：3）
『若不藉著我，没有人能到父那里去』	（约14：6）
『不是你们拣选了我，是我拣选了你们』	（约15：16）
『妇人焉能忘记她吃奶的婴孩，不怜恤她所生的儿子？即或有忘记的，我却不忘记你。』	（赛49：15）
『母亲怎样安慰儿子，我就照样安慰你们』	（赛66：13）
『我遇见他们必像丢崽子的母熊，撕裂他们的胸膛。在那里，我必像母狮吞吃他们』	（何13：8）
『只等真理的圣灵来了，他要引导你们明白一切的真理；因为他不是凭自己说的，乃是把他所听见的都说出来，并要把将来的事告诉你们。』	（约16：13）
『狐狸有洞，天空的飞鸟有窝，人子却没有枕头的地方』	（太8：20）
『我就是道路、真理、生命；若不藉著我，没有人能到父那里去』	（约14：6）
『你们若不信我是基督	（救世主），必要死在罪中』	（约8：24）
『因我们的大祭司并非不能体恤我们的软弱。他也曾凡事受过试探，与我们一样，只是他没有犯罪』	（来4：15）
『智慧人的舌善发知识；愚昧人的口吐出愚昧』	（箴15：2）
『又保全他一身的骨头，连一根也不折断』	（诗34：20）
『现在要应验经上的话，说：同我吃饭的人用脚踢我』	（约13：8）
『连我知己的朋友，我所倚靠、吃过我饭的也用脚踢我』	（诗41：9）
『他也被列在罪犯之中。他却担当多人的罪，又为罪犯代求』	（赛53：12）
『谁知死的时候与财主同葬』	（赛53：9）
『犬类围著我，恶党环绕我；他们扎了我的手，我的脚』	（诗22：16）
『他们分我的外衣，为我的里衣拈阄』	（诗22：18）
『因为十字架的道理，在那灭亡的人为愚拙；在我们得救的人，却为神的大能。』	（林前1：18）
『世人凭自己的智慧，既不认识神，神就乐意用人所当作愚拙的道理，拯救那些信的人；这就是神的智慧了。』	（林前1：21）
『因神的愚拙总比人智慧，神的软弱总比人强壮。』	（林前1：25）
『因这世界的智慧，在神看是愚拙。如经上记著说：主叫有智慧的，中了自己的诡计』	（林前3：19）
『所以，你们要去，使万民作我的门徒，奉父、子、圣灵的名给他们施洗』	（太28：19）
『他并不救拔天使，乃是救拔亚伯拉罕的后裔』	（来2：16）
『远远的站著，连举目望天也不敢，只捶著胸说：神啊，开恩可怜我这个罪人！』	（路18：13）
『如死之坚强』	（歌8：6）
『众水不能熄灭，大水也不能淹没』	（歌8：7）
『如死之坚强』	（雅8：6）
『众水不能熄灭，大水也不能淹没』	（雅8：7）
『愿恩惠、平安从我们的父神并主耶稣基督归与你们』	（罗1：7）
『愿荣耀因耶稣基督归与独一全智的神，直到永远。阿们』	（罗16：27）
『愿恩惠、平安从神我们的父和主耶稣基督归与你们』	（林后1：2）
『神说：我们要照著我们的形像、按著我们的样式造人』	（创1：26）
『奉父、子、圣灵的名给他们施洗	（或作：给他们施洗，归于父、子、圣灵的名）』	（太28：19）
『彼得说：亚拿尼亚！为甚么撒但充满了你的心，叫你欺哄圣灵、、、你不是欺哄人，是欺哄神了』	（徒5：3-4）
『岂不知你们是神的殿，神的灵住在你们里头吗？』	（林前3：16）
『神看著一切所造的都甚好』	（创1：31）
『祭司要在坛上焚烧，是献给耶和华为食物的火祭』	（利3：11）
『神的食物，无论是圣的，至圣的，他都可以吃』	（利21：22）
『日落的时候，他就洁净了，然后可以吃圣物，因为这是他	（祭司）的食物』	（利22：7）
『愚顽人心里说：没有神。』	（诗14：1）
『在天上的万军，和世上的居民中，祂都凭自己的意旨行事，无人能拦阻祂手』	（但4：35）
『我们的神在天上，都随自己的意旨行事』	（诗115：3）
『在你没有难成的事』	（耶32：17）
『耶和华岂有难成的事吗？』	（创18：14）
『随己意行做万事的』	（弗1：11）
『我已说出，也必成就，我已谋定，也必做成』	（赛46：11）
『你万事都能做，你的旨意不能拦阻』	（伯42：2）
『太初有道，道与神同在，道就是神』	（约1：1）
『因为知道我所信的是谁』	（提后1：12）
『你若信，就必看见神的荣耀』	（约11：40）
『信就是所望之事的实底，是未见之事的确据』	（来11：1）
『你因看见了我才信；那没有看见就信的有福了』	（约20：29）
『神的道是活泼的，是有功效的，比一切两刃的剑更快，甚至魂与灵，骨节与骨髓，都能刺入、剖开』	（来4：12）
『你要保守你心，胜过保守一切，因为一生的果效是由心发出』	（箴4：23）
『除他以外，别无拯救；因为在天下人间，没有赐下别的名，我们可以靠著得救』	（徒4：12）
『我要谨慎我的言行，免得我舌头犯罪』	（诗39：1）
『愚蒙人是话都信；通达人步步谨慎』	（箴14：15）
『滥交朋友的，自取败坏』	（箴18：24）
『我的殿必称为祷告的殿，你们倒使它成为贼窝了』	（太21：13）
『他们以敬虔为得利的门路』	（提前6：5）
『过路被事激动，管理不干己的争竞，好像人揪住狗耳』	（箴26：17）
『要照愚昧人的愚妄话回答他，免得他自以为有智慧』	（箴26：5）
『不可作假见证陷害人』。	（出20：16）
『不可随伙布散谣言；不可与恶人连手妄作见证』	（出23：1）
『不可随众行恶；不可在争讼的事上随众偏行，作见证屈枉正直』	（出23：2）
『他不以舌头谗谤人，、、、、也不随伙毁谤邻里。』	（诗15：3）
『不要在别人的恶行上有分』	（约二1：11）
『不要在别人的罪上有分，要保守自己清洁』	（提前5：22）
『不要为人愚昧，何必不到期而死呢？』	（传7：17）
『使我们无可指摘，诚实无伪，在这弯曲悖谬的世代作神无瑕疵的儿女。我们显在这世代中，好像明光照耀』	（腓2：15）
『父啊，救我脱离这时候』	（约12：27）
『求主耶稣接收我的灵魂』	（徒7：59）
『没有权柄不是神所命的』	（罗13：1）
『你们要为那城求平安，为那城祷告耶和华；因为那城得平安，你们也随著得平安』	（耶29：7）
『要用公道天平、公道法码、公道升斗、公道秤。我是耶和华你们的神』	（利19：36）
『诡诈的天平为耶和华所憎恶；公平的法码为他所喜悦』	（箴11：1）
『两样的法码，两样的升斗，都为耶和华所憎恶』	（箴20：10）
『两样的法码为耶和华所憎恶；诡诈的天平也为不善』	（箴20：23）
『我若用不公道的天平和囊中诡诈的法码，岂可算为清洁呢？』	（弥6：11）
『公义使邦国高举；罪恶是人民的羞辱』	（箴14：34）
『我所使你们被掳到的那城，你们要为那城求平安，为那城祷告耶和华；因为那城得平安，你们也随著得平安』	（耶29：7）
『我们若说自己无罪，就是说谎！』	（约一1：8）
『我们若说自己无罪，便是自欺，真理不在我们心里了』	（约一1：8）
『你们若实在改正行动作为，在人和邻舍中间诚然施行公平，不欺压寄居的和孤儿寡妇；在这地方不流无辜人的血，也不随从别神陷害自己，我就使你们在这地方仍然居住』	（耶7：6-7）
『你们是重价买来的，不要作人的奴仆』	（林前7：23）
『年老的当先说话，寿高的当以智慧教训人。』	（伯32：7）
『断定罪名不立刻施刑，所以世人满心作恶』	（传8：11）
『故杀人、犯死罪的，你们不可收赎价代替他的命；他必被治死』	（民35：31）
『免得无辜之人的血流在耶和华你神所赐你为业的地上，流血的罪就归于你』	（申19：10）
『你眼不可顾惜他，却要从以色列中除掉流无辜血的罪，使你可以得福』	（申19：13）
『因这地上、、、杀人流血，、、、因此，这地悲哀，其上的民、、、、、必都衰微』	（何4：1-4）
『到了禧年，地业要出买主的手，自己便归回自己的地业』	（利25：29）
『愚蒙人是话都信；通达人步步谨慎』	（箴15：14）
『听从你们，不听从神，这在神面前合理不合理，你们自己酌量吧』	（徒4：19）
